analysis,field,node,CI
test-fields,Field 63,TransportAndStorage,0.0
test-fields,Field 63,LiquifiedNaturalGas,0.0
test-fields,Field 63,After,0.0
test-fields,Field 63,CrudeOilDewatering,0.17085315770895426
test-fields,Field 64,TOTAL,7.909949943625205
test-fields,Field 64,ExplorationAndDrilling,1.7200194808839104
test-fields,Field 64,ProductionExtraction,5.55744365953145
test-fields,Field 64,SurfaceProcessing,0.0
test-fields,Field 64,TransportAndStorage,0.0
test-fields,Field 64,LiquifiedNaturalGas,0.0
test-fields,Field 64,After,0.0
test-fields,Field 65,TOTAL,1822.2478464669207
test-fields,Field 65,ExplorationAndDrilling,1.7200235038483365
test-fields,Field 65,ProductionExtraction,1492.136002232942
test-fields,Field 65,SurfaceProcessing,0.0
test-fields,Field 65,TransportAndStorage,0.0
test-fields,Field 65,LiquifiedNaturalGas,0.0
test-fields,Field 65,After,0.0
test-fields,Field 66,TOTAL,7.136086483305892
test-fields,Field 66,ExplorationAndDrilling,1.7201361657113863
test-fields,Field 66,ProductionExtraction,5.173035860812535
test-fields,Field 66,SurfaceProcessing,0.0
test-fields,Field 66,TransportAndStorage,0.0
test-fields,Field 66,LiquifiedNaturalGas,0.0
test-fields,Field 66,After,0.0
test-fields,Field 67,TOTAL,38.750132981752444
test-fields,Field 67,ExplorationAndDrilling,1.7200178393642445
test-fields,Field 67,ProductionExtraction,30.292663985509503
test-fields,Field 67,SurfaceProcessing,0.0
test-fields,Field 67,TransportAndStorage,0.0
test-fields,Field 67,LiquifiedNaturalGas,0.0
test-fields,Field 67,After,0.0
test-fields,Field 68,TOTAL,37.98402046631178
test-fields,Field 68,ExplorationAndDrilling,1.7200178393642445
test-fields,Field 68,ProductionExtraction,29.680830935077665
test-fields,Field 68,SurfaceProcessing,0.0
test-fields,Field 68,TransportAndStorage,0.0
test-fields,Field 68,LiquifiedNaturalGas,0.0
test-fields,Field 68,After,0.0
test-fields,Field 69,TOTAL,37.217907950871115
test-fields,Field 69,ExplorationAndDrilling,1.7200178393642445
test-fields,Field 69,ProductionExtraction,29.068997884645825
test-fields,Field 69,SurfaceProcessing,0.0
test-fields,Field 69,TransportAndStorage,0.0
test-fields,Field 69,LiquifiedNaturalGas,0.0
test-fields,Field 69,After,0.0
test-fields,Field 70,TOTAL,36.21060065639926
test-fields,Field 70,ExplorationAndDrilling,1.7200178393642445
test-fields,Field 70,ProductionExtraction,28.264541773725256
test-fields,Field 70,SurfaceProcessing,0.0
test-fields,Field 70,TransportAndStorage,0.0
test-fields,Field 70,LiquifiedNaturalGas,0.0
test-fields,Field 70,After,0.0
test-fields,Field 71,TOTAL,6.784464760493583
test-fields,Field 71,ExplorationAndDrilling,1.720128999721673
test-fields,Field 71,ProductionExtraction,4.222039892511021
test-fields,Field 71,SurfaceProcessing,0.0
test-fields,Field 71,TransportAndStorage,0.0
test-fields,Field 71,LiquifiedNaturalGas,0.0
test-fields,Field 71,After,0.0
test-fields,Field 71,CrudeOilDewatering,0.0
test-fields,Field 72,TOTAL,13.20047960390292
test-fields,Field 72,ExplorationAndDrilling,1.7202072299465012
test-fields,Field 72,ProductionExtraction,11.027586768085872
test-fields,Field 72,SurfaceProcessing,0.0
test-fields,Field 72,TransportAndStorage,0.0
test-fields,Field 72,LiquifiedNaturalGas,0.0
test-fields,Field 72,After,0.0
test-fields,Field 72,CrudeOilDewatering,0.0
test-fields,Field 73,TOTAL,19.955596955297455
test-fields,Field 73,ExplorationAndDrilling,1.720009346219928
test-fields,Field 73,ProductionExtraction,15.285480159152643
test-fields,Field 73,SurfaceProcessing,0.0
test-fields,Field 73,TransportAndStorage,0.0
test-fields,Field 73,LiquifiedNaturalGas,0.0
test-fields,Field 73,After,0.0
test-fields,Field 74,TOTAL,850.9382903329816
test-fields,Field 74,ExplorationAndDrilling,1.7200117440062563
test-fields,Field 74,ProductionExtraction,696.4239502976661
test-fields,Field 74,SurfaceProcessing,0.0
test-fields,Field 74,TransportAndStorage,0.0
test-fields,Field 74,LiquifiedNaturalGas,0.0
test-fields,Field 74,After,0.0
test-fields,Field 75,TOTAL,6.63310431734174
test-fields,Field 75,ExplorationAndDrilling,1.7202568625121963
test-fields,Field 75,ProductionExtraction,4.699932404644528
test-fields,Field 75,SurfaceProcessing,0.0
test-fields,Field 75,TransportAndStorage,0.0
test-fields,Field 75,LiquifiedNaturalGas,0.0
test-fields,Field 75,After,0.0
test-fields,Field 76,TOTAL,6.788836235116177
test-fields,Field 76,ExplorationAndDrilling,1.7200399372674242
test-fields,Field 76,ProductionExtraction,4.579118355740973
test-fields,Field 76,SurfaceProcessing,0.0
test-fields,Field 76,TransportAndStorage,0.0
test-fields,Field 76,LiquifiedNaturalGas,0.0
test-fields,Field 76,After,0.0
test-fields,Field 77,TOTAL,6.360549766126903
test-fields,Field 77,ExplorationAndDrilling,1.7201695919544189
test-fields,Field 77,ProductionExtraction,4.440930132848532
test-fields,Field 77,SurfaceProcessing,0.0
test-fields,Field 77,TransportAndStorage,0.0
test-fields,Field 77,LiquifiedNaturalGas,0.0
test-fields,Field 77,After,0.0
test-fields,Field 78,TOTAL,5.650999105784145
test-fields,Field 78,ExplorationAndDrilling,1.7200071000739505
test-fields,Field 78,ProductionExtraction,3.786535142308552
test-fields,Field 78,SurfaceProcessing,0.0
test-fields,Field 78,TransportAndStorage,0.0
test-fields,Field 78,LiquifiedNaturalGas,0.0
test-fields,Field 78,After,0.0
test-fields,Field 79,TOTAL,19.32877406480008
test-fields,Field 79,ExplorationAndDrilling,1.7201028704376227
test-fields,Field 79,ProductionExtraction,14.950825732143539
test-fields,Field 79,SurfaceProcessing,0.0
test-fields,Field 79,TransportAndStorage,0.0
test-fields,Field 79,LiquifiedNaturalGas,0.0
test-fields,Field 79,After,0.0
test-fields,Field 80,TOTAL,18.452882957137113
test-fields,Field 80,ExplorationAndDrilling,1.720002259516679
test-fields,Field 80,ProductionExtraction,13.834829752385506
test-fields,Field 80,SurfaceProcessing,0.0
test-fields,Field 80,TransportAndStorage,0.0
test-fields,Field 80,LiquifiedNaturalGas,0.0
test-fields,Field 80,After,0.0
test-fields,Field 81,TOTAL,9.385278674255115
test-fields,Field 81,ExplorationAndDrilling,1.7200719389633983
test-fields,Field 81,ProductionExtraction,7.526516193974107
